t,x,y,z,dxdt,dydt,dzdt,speed
8.134,-5.534939189,-5.77146714,23.11784578,-2.365279505,-21.25095958,-29.7028691,36.59861012
8.135,-5.53739884,-5.792795407,23.0882484,-2.553965666,-21.40553221,-29.49164383,36.53048871
8.136,-5.540047007,-5.81427812,23.05886299,-2.742311133,-21.55985318,-29.27892721,36.46372332
8.137,-5.542883349,-5.835915031,23.02969104,-2.930316818,-21.71392772,-29.0647132,36.39833742
8.138,-5.545907528,-5.857705895,23.00073406,-3.117983675,-21.86776069,-28.84899562,36.33435465
8.139,-5.549119204,-5.879650473,22.97199356,-3.305312695,-22.02135664,-28.63176813,36.27179878
8.14,-5.552518041,-5.901748531,22.94347103,-3.492304901,-22.17471978,-28.41302423,36.21069368
8.141,-5.556103702,-5.923999837,22.91516802,-3.678961348,-22.32785397,-28.19275729,36.15106337
8.142,-5.559875852,-5.946404164,22.88708603,-3.865283118,-22.48076276,-27.97096049,36.09293198
8.143,-5.563834157,-5.968961288,22.85922661,-4.051271312,-22.63344931,-27.74762692,36.03632371
8.144,-5.567978284,-5.991670989,22.83159129,-4.236927055,-22.78591647,-27.52274949,35.9812629
8.145,-5.572307901,-6.014533049,22.80418163,-4.422251482,-22.93816673,-27.29632097,35.92777393
8.146,-5.576822677,-6.037547251,22.77699917,-4.607245744,-23.09020223,-27.06833402,35.8758813
8.147,-5.581522282,-6.060713382,22.75004548,-4.791910999,-23.24202476,-26.83878115,35.82560955
8.148,-5.586406389,-6.08403123,22.72332213,-4.976248407,-23.39363574,-26.60765474,35.77698327
8.149,-5.59147467,-6.107500584,22.6968307,-5.160259133,-23.54503625,-26.37494705,35.73002712
8.15,-5.596726799,-6.131121233,22.67057277,-5.343944335,-23.696227,-26.1406502,35.68476576
8.151,-5.602162451,-6.154892968,22.64454993,-5.527305169,-23.84720833,-25.9047562,35.64122391
8.152,-5.607781302,-6.17881558,22.61876379,-5.710342778,-23.99798023,-25.66725696,35.59942625
8.153,-5.613583029,-6.202888858,22.59321595,-5.893058292,-24.14854231,-25.42814425,35.55939752
8.154,-5.619567311,-6.227112594,22.56790804,-6.075452826,-24.29889382,-25.18740973,35.52116238
8.155,-5.625733828,-6.251486575,22.54284168,-6.257527473,-24.44903361,-24.94504497,35.4847455
8.156,-5.63208226,-6.27601059,22.5180185,-6.439283301,-24.59896019,-24.70104142,35.45017149
8.157,-5.638612289,-6.300684424,22.49344014,-6.620721353,-24.74867166,-24.45539043,35.41746491
8.158,-5.645323597,-6.325507861,22.46910827,-6.801842639,-24.89816575,-24.20808326,35.38665025
8.159,-5.652215869,-6.350480682,22.44502453,-6.982648134,-25.04743981,-23.95911106,35.3577519
8.16,-5.659288788,-6.375602666,22.4211906,-7.163138778,-25.1964908,-23.70846492,35.33079414
8.161,-5.666542042,-6.400873588,22.39760816,-7.343315466,-25.34531529,-23.45613581,35.30580117
8.162,-5.673975315,-6.42629322,22.3742789,-7.523179051,-25.49390945,-23.20211462,35.28279702
8.163,-5.681588296,-6.451861329,22.3512045,-7.702730334,-25.64226907,-22.94639219,35.26180557
8.164,-5.689380672,-6.477577679,22.32838668,-7.881970067,-25.79038951,-22.68895924,35.24285055
8.165,-5.697352132,-6.503442027,22.30582716,-8.060898945,-25.93826577,-22.42980645,35.22595549
8.166,-5.705502366,-6.529454127,22.28352765,-8.239517605,-26.08589242,-22.16892442,35.21114374
8.167,-5.713831064,-6.555613726,22.26148989,-8.417826622,-26.23326363,-21.90630367,35.19843841
8.168,-5.722337917,-6.581920567,22.23971562,-8.595826504,-26.38037315,-21.6419347,35.18786237
8.169,-5.731022614,-6.608374383,22.2182066,-8.773517689,-26.52721433,-21.37580791,35.17943826
8.17,-5.739884849,-6.634974904,22.19696459,-8.950900546,-26.6737801,-21.10791366,35.17318843
8.171,-5.748924313,-6.661721849,22.17599137,-9.127975364,-26.82006298,-20.83824228,35.16913495
8.172,-5.758140697,-6.688614933,22.1552887,-9.304742355,-26.96605504,-20.56678403,35.16729958
8.173,-5.767533695,-6.71565386,22.1348584,-9.481201647,-27.11174795,-20.29352914,35.16770375
8.174,-5.777102998,-6.742838326,22.11470225,-9.65735328,-27.25713296,-20.01846782,35.17036854
8.175,-5.786848299,-6.77016802,22.09482207,-9.833197209,-27.40220085,-19.74159023,35.17531469
8.176,-5.79676929,-6.797642619,22.07521968,-10.00873329,-27.54694201,-19.4628865,35.18256254
8.177,-5.806865663,-6.825261792,22.05589691,-10.18396129,-27.69134636,-19.18234675,35.19213204
8.178,-5.81713711,-6.853025196,22.0368556,-10.35888086,-27.83540339,-18.89996108,35.20404272
8.179,-5.827583322,-6.880932479,22.0180976,-10.53349157,-27.97910216,-18.61571959,35.21831368
8.18,-5.83820399,-6.908983277,21.99962478,-10.70779287,-28.12243126,-18.32961235,35.23496356
8.181,-5.848998804,-6.937177214,21.981439,-10.8817841,-28.26537885,-18.04162945,35.25401055
8.182,-5.859967454,-6.965513903,21.96354215,-11.05546449,-28.40793263,-17.75176096,35.27547234
8.183,-5.871109629,-6.993992944,21.94593611,-11.22883315,-28.55007983,-17.45999699,35.2993661
8.184,-5.882425016,-7.022613923,21.92862279,-11.40188907,-28.69180725,-17.16632763,35.32570851
8.185,-5.893913303,-7.051376414,21.9116041,-11.57463111,-28.83310119,-16.87074301,35.35451569
8.186,-5.905574173,-7.080279976,21.89488195,-11.74705803,-28.97394752,-16.57323329,35.38580321
8.187,-5.917407313,-7.109324155,21.87845828,-11.91916842,-29.11433161,-16.27378866,35.41958608
8.188,-5.929412404,-7.13850848,21.86233502,-12.09096076,-29.25423839,-15.97239932,35.45587872
8.189,-5.941589128,-7.167832467,21.84651413,-12.26243339,-29.39365229,-15.66905555,35.49469495
8.19,-5.953937164,-7.197295615,21.83099756,-12.43358451,-29.53255726,-15.36374766,35.53604796
8.191,-5.966456189,-7.226897407,21.81578729,-12.60441218,-29.67093679,-15.05646601,35.57995032
8.192,-5.97914588,-7.256637308,21.80088529,-12.77491428,-29.80877386,-14.74720105,35.62641397
8.193,-5.992005909,-7.286514768,21.78629355,-12.94508859,-29.94605098,-14.43594327,35.67545018
8.194,-6.005035947,-7.316529217,21.77201407,-13.11493271,-30.08275015,-14.12268324,35.72706955
8.195,-6.018235663,-7.346680069,21.75804886,-13.28444406,-30.21885291,-13.80741162,35.78128199
8.196,-6.031604723,-7.376966718,21.74439992,-13.45361995,-30.35434025,-13.49011916,35.83809673
8.197,-6.04514279,-7.407388538,21.7310693,-13.62245748,-30.48919271,-13.17079671,35.89752228
8.198,-6.058849524,-7.437944885,21.71805901,-13.79095361,-30.6233903,-12.8494352,35.95956646
8.199,-6.072724582,-7.468635094,21.70537111,-13.95910511,-30.75691252,-12.52602569,36.02423632
8.2,-6.086767619,-7.499458478,21.69300764,-14.1269086,-30.88973837,-12.20055936,36.09153823
8.201,-6.100978282,-7.530414331,21.68097068,-14.29436049,-31.02184633,-11.87302751,36.16147776
8.202,-6.115356221,-7.561501924,21.66926228,-14.46145703,-31.15321438,-11.54342158,36.23405977
8.203,-6.129901077,-7.592720506,21.65788453,-14.62819429,-31.28381995,-11.21173314,36.30928833
8.204,-6.144612488,-7.624069302,21.64683951,-14.79456814,-31.41363998,-10.87795391,36.38716676
8.205,-6.15949009,-7.655547516,21.63612932,-14.96057426,-31.54265087,-10.54207579,36.4676976
8.206,-6.174533513,-7.687154326,21.62575606,-15.12620813,-31.67082849,-10.20409082,36.55088261
8.207,-6.189742381,-7.718888887,21.61572184,-15.29146506,-31.79814819,-9.863991237,36.63672277
8.208,-6.205116316,-7.750750328,21.60602879,-15.45634012,-31.92458477,-9.521769442,36.72521826
8.209,-6.220654932,-7.782737754,21.59667901,-15.62082821,-32.05011252,-9.177418044,36.81636849
8.21,-6.236357841,-7.814850242,21.58767466,-15.784924,-32.17470516,-8.830929849,36.91017204
8.211,-6.252224648,-7.847086843,21.57901787,-15.94862196,-32.2983359,-8.482297877,37.00662672
8.212,-6.268254951,-7.879446584,21.57071078,-16.11191633,-32.42097738,-8.131515365,37.10572953
8.213,-6.284448344,-7.911928459,21.56275556,-16.27480115,-32.54260172,-7.778575785,37.20747667
8.214,-6.300804415,-7.944531439,21.55515435,-16.43727024,-32.66318047,-7.423472849,37.31186353
8.215,-6.317322744,-7.977254462,21.54790934,-16.59931718,-32.78268464,-7.066200517,37.41888471
8.216,-6.334002906,-8.01009644,21.54102268,-16.76093534,-32.90108469,-6.706753012,37.52853399
8.217,-6.350844469,-8.043056253,21.53449656,-16.92211784,-33.01835053,-6.345124829,37.64080437
8.218,-6.367846994,-8.076132753,21.52833316,-17.08285758,-33.13445151,-5.981310744,37.75568802
8.219,-6.385010034,-8.109324757,21.52253466,-17.24314723,-33.2493564,-5.615305825,37.87317636
8.22,-6.402333136,-8.142631056,21.51710328,-17.4029792,-33.36303346,-5.247105445,37.99325996
8.221,-6.419815838,-8.176050404,21.51204119,-17.56234567,-33.47545034,-4.876705292,38.11592863
8.222,-6.437457669,-8.209581526,21.5073506,-17.72123856,-33.58657415,-4.504101378,38.24117138
8.223,-6.455258154,-8.24322311,21.50303372,-17.87964956,-33.69637144,-4.129290055,38.36897644
8.224,-6.473216805,-8.276973815,21.49909276,-18.0375701,-33.8048082,-3.752268023,38.49933126
8.225,-6.491333128,-8.310832262,21.49552992,-18.19499134,-33.91184983,-3.373032345,38.63222251
8.226,-6.509606618,-8.344797038,21.49234743,-18.3519042,-34.0174612,-2.991580455,38.76763608
8.227,-6.528036764,-8.378866696,21.4895475,-18.50829932,-34.12160657,-2.607910176,38.90555711
8.228,-6.546623041,-8.41303975,21.48713235,-18.66416709,-34.22424967,-2.222019725,39.04596996
8.229,-6.565364919,-8.447314682,21.4851042,-18.81949763,-34.32535364,-1.833907735,39.18885825
8.23,-6.584261854,-8.481689932,21.48346528,-18.97428078,-34.42488107,-1.443573258,39.33420486
8.231,-6.603313294,-8.516163906,21.4822178,-19.12850612,-34.52279397,-1.051015787,39.48199189
8.232,-6.622518677,-8.550734969,21.48136399,-19.28216292,-34.61905378,-0.6562352622,39.63220075
8.233,-6.641877427,-8.585401449,21.48090607,-19.43524022,-34.71362139,-0.2592320892,39.7848121
8.234,-6.66138896,-8.620161635,21.48084626,-19.58772674,-34.80645711,0.1399928496,39.93980587
8.235,-6.68105268,-8.655013773,21.48118679,-19.73961093,-34.89752068,0.5414381805,40.0971613
8.236,-6.700867977,-8.689956072,21.48192988,-19.89088094,-34.98677128,0.9451020245,40.2568569
8.237,-6.720834233,-8.724986697,21.48307774,-20.04152464,-35.07416755,1.350981983,40.41887049
8.238,-6.740950814,-8.760103775,21.48463258,-20.19152961,-35.15966754,1.759075123,40.58317921
8.239,-6.761217075,-8.795305386,21.48659662,-20.34088311,-35.24322875,2.169377964,40.7497595
8.24,-6.781632358,-8.830589572,21.48897207,-20.48957213,-35.32480812,2.581886461,40.91858713
8.241,-6.802195993,-8.865954327,21.49176113,-20.63758334,-35.40436205,2.996595992,41.0896372
8.242,-6.822907295,-8.901397606,21.49496599,-20.78490311,-35.48184636,3.413501339,41.26288417
8.243,-6.843765564,-8.936917315,21.49858886,-20.93151751,-35.55721636,3.832596677,41.43830182
8.244,-6.86477009,-8.972511319,21.50263192,-21.07741229,-35.63042677,4.253875555,41.61586329
8.245,-6.885920144,-9.008177434,21.50709734,-21.22257289,-35.7014318,4.677330885,41.79554112
8.246,-6.907214986,-9.043913432,21.5119873,-21.36698446,-35.77018512,5.102954919,41.97730717
8.247,-6.928653858,-9.079717038,21.51730397,-21.51063179,-35.83663984,5.530739238,42.16113271
8.248,-6.95023599,-9.115585929,21.5230495,-21.6534994,-35.90074857,5.960674737,42.34698841
8.249,-6.971960592,-9.151517737,21.52922603,-21.79557145,-35.96246337,6.392751602,42.5348443
8.25,-6.993826862,-9.187510042,21.53583571,-21.9368318,-36.02173581,6.826959301,42.72466985
8.251,-7.01583398,-9.223560378,21.54288066,-22.07726398,-36.07851692,7.263286563,42.91643392
8.252,-7.037981108,-9.259666229,21.55036299,-22.21685121,-36.13275724,7.701721361,43.11010479
8.253,-7.060267395,-9.295825029,21.5582848,-22.35557634,-36.18440678,8.142250899,43.30565018
8.254,-7.082691968,-9.332034162,21.56664818,-22.49342194,-36.2334151,8.584861588,43.50303724
